Day,Date,Close,Open,High,Low
Thursday,2020-09-24,20456.85,20931.15,20979.8,20442.5
Friday,2020-09-25,20979.15,20710.0,21089.0,20431.0
Monday,2020-09-28,21724.5,21100.1,21765.9,21050.0
Tuesday,2020-09-29,21450.2,21763.0,21839.8,21312.65
Wednesday,2020-09-30,21464.25,21423.25,21580.6,21141.2
Thursday,2020-10-01,22316.0,21676.0,22367.25,21665.0
Friday,2020-10-02,22316.0,21676.0,22367.25,21665.0
Monday,2020-10-05,22425.15,22319.5,22840.0,22267.55
Tuesday,2020-10-06,22913.8,22723.0,22940.1,22542.8
Wednesday,2020-10-07,23018.85,22850.0,23109.0,22656.9
Thursday,2020-10-08,23184.7,23179.95,23480.0,23060.0
Friday,2020-10-09,23903.15,23250.95,23965.0,23151.0
Monday,2020-10-12,23766.95,23935.4,24217.0,23588.4
Tuesday,2020-10-13,23562.2,23699.0,23840.0,23450.0
Wednesday,2020-10-14,23951.05,23369.1,24023.05,23212.0
Thursday,2020-10-15,23110.3,23970.0,24140.0,22995.5
Friday,2020-10-16,23584.25,23201.2,23717.0,23183.0
Monday,2020-10-19,24346.7,23894.95,24409.8,23786.05
Tuesday,2020-10-20,24351.75,24165.0,24460.55,24086.35
Wednesday,2020-10-21,24664.95,24484.0,24880.65,24102.4
Thursday,2020-10-22,24557.95,24500.0,24740.0,24307.85
Friday,2020-10-23,24537.0,24660.0,24789.0,24379.25
Monday,2020-10-26,24109.15,24519.95,24550.0,23850.1
Tuesday,2020-10-27,24741.4,24311.0,24797.0,23894.85
Wednesday,2020-10-28,24214.25,23698.0,24795.0,23698.0
Thursday,2020-10-29,24092.0,23999.7,24341.3,23791.0
Friday,2020-10-30,23924.55,24049.95,24277.0,23565.0
Monday,2020-11-02,24931.2,24245.2,25163.45,24100.5
Tuesday,2020-11-03,25669.55,25110.0,25735.0,25070.45
Wednesday,2020-11-04,25795.0,25588.0,25913.7,25091.75
Thursday,2020-11-05,26296.6,26177.15,26363.15,26001.0
Friday,2020-11-06,26749.2,26249.85,26845.0,26115.25
Monday,2020-11-09,27523.15,27050.0,27594.35,27021.6
Tuesday,2020-11-10,28640.05,28000.0,28796.65,27832.3
Wednesday,2020-11-11,28815.7,28698.25,28999.0,28165.0
Thursday,2020-11-12,28316.3,28655.35,28680.25,28085.6
Friday,2020-11-13,28511.9,28127.75,28567.95,27712.4
Monday,2020-11-16,28511.9,28127.75,28567.95,27712.4
Tuesday,2020-11-17,29151.9,28750.0,29213.0,28707.0
Wednesday,2020-11-18,29756.4,29049.95,29790.0,29037.0
Thursday,2020-11-19,28912.05,29375.5,29608.0,28820.0
Friday,2020-11-20,29244.9,28949.2,29412.0,28562.15
Monday,2020-11-23,29010.4,29430.0,29641.0,28802.2
Tuesday,2020-11-24,29729.9,29200.0,29783.0,29151.15
Wednesday,2020-11-25,29208.7,29953.0,30190.0,29148.2
Thursday,2020-11-26,29549.75,29300.05,29626.8,28901.1
Friday,2020-11-27,29667.2,29649.95,29780.0,29381.85
Monday,2020-11-30,29667.2,29649.95,29780.0,29381.85
Tuesday,2020-12-01,29892.2,29785.15,29990.0,29525.95
Wednesday,2020-12-02,29603.0,29865.55,29912.0,29202.0
Thursday,2020-12-03,29542.2,29543.05,29890.0,29436.65
Friday,2020-12-04,30190.95,29350.0,30276.95,29350.0
